"id","name","status","skill_level","stickhandling_bucket","tags","puck_location","hand_speed","feeds_into","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","difficulty","coach_preference","inspired_by","video_url","session_type"
"SH_038","Forehand Toe Drag to Wide Backhand","active","advanced","wide_reach","backhand_emphasis, wide_reach, puck_protection","extended","controlled","puck_protection","60","low-med","12","99","Stick & puck","4x4 ft","Move puck wide across body into wide backhand","Strong edges stance","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/714b92af307fcfecb97c0c94db552d03/manifest/video.m3u8","movement"
"SH_039","Deceptive Fake Pass Combo","active","advanced","reaction","deception, fake_pass, decision_making","in_tight","fast","decision_making","60","low-med","12","99","Stick & puck","4x4 ft","Fake pass, quick stickhandles, second deceptive fake","Sell fakes with eyes","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/fcae199109371142d4a299729fe74bbb/manifest/video.m3u8","movement"
"SH_040","Single-Leg Stickhandling ""Around the World""","active","intermediate","stationary_control","balance, in_tight, full_body","in_tight","controlled","puck_protection","45","low-med","8","99","Stick & puck","4x4 ft","Stickhandle around the entire body while balancing on one leg","Stable posture","4","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/44b58b44cc408f37ffd2817c55fd37fe/manifest/video.m3u8","movement"
"SH_041","Single-Leg Hop Over Stick","active","advanced","movement_based","balance, plyometric, coordination","in_tight","controlled","skating","45","low-med","10","99","Stick & puck, extra stick","4x4 ft","Hop over a line on one leg while controlling puck","Stay balanced","4","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/46b04e753f76a10ed95f83fbac6ab68f/manifest/video.m3u8","movement"
"SH_043","Single-Leg Forwards/Backwards Hop","active","advanced","movement_based","balance, plyometric, skating_transfer","mid_range","controlled","skating","60","low-med","10","99","Stick & puck","6 ft lane","Hop backward on one leg while controlling puck","Control center of mass","4","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/48399d3a515faf4df6d044b73ff5079b/manifest/video.m3u8","movement"
"SH_044","Iron Cross Stickhandle","active","advanced","movement_based","lateral, crossover, skating_transfer","mid_range","controlled","skating","90","low-med","12","99","Stick & puck","10 ft grid","Move forward/backward and laterally in cross pattern while handling","Stay controlled through transitions","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/80606664907692b2f13b1ad3e616f5fe/manifest/video.m3u8","movement"
"SH_046","Head-Up Puck Protection Stickhandle","active","advanced","stationary_control","puck_protection, eyes_up, body_positioning","in_tight","controlled","puck_protection","45","low-med","10","99","Stick & puck","4x4 ft","Protect puck on forehand or backhand while keeping head up and scanning","Chest tall, puck outside feet","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/76d5cc29dbc5184307f00f817e655a20/manifest/video.m3u8","movement"
"SH_047","Head-Up Puck Protection Hold","active","advanced","wide_reach","puck_protection, wide_reach, eyes_up","extended","controlled","puck_protection","60","low-med","12","99","Stick & puck","4x4 ft","Move puck wide across body while maintaining protection and eyes up","See space, feel puck","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/4a199ff9561853e9b193eeada5c8c475/manifest/video.m3u8","movement"
"SH_048","Protection with Visual Callouts","inactive","advanced","reaction","puck_protection, reaction, decision_making","in_tight","fast","decision_making","45","low-med","12","99","Stick & puck","4x4 ft","Protect puck while responding to visual or verbal cues","Head stays up entire rep","4","1","self","","movement"
"SH_051","Protection with Shoulder Checks","active","advanced","reaction","puck_protection, scanning, decision_making","in_tight","fast","decision_making","60","low-med","12","99","Stick & puck","4x4 ft","Protect puck while performing quick shoulder checks","Scan without losing control","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/19bd861a45ec1dcc78a871ed41e03707/manifest/video.m3u8","movement"
"SH_052","Single-Leg Plate Push (Hughes)","active","intermediate","resistance_control","single_leg, plate_push, edge_control, core_stability","extended","controlled","shooting","45","low-med","10","99","Stick, puck, 5 lb plate","6x6 ft","Stand on one leg. Place the knob of the stick into the plate hole/edge and push the plate back and forth on the ground under control. Switch legs halfway.","Stay tall, knee stable, smooth pushes, don’t rush","3","2","Jack Hughes","","stickhandling"
"SH_053","BOSU Stickhandling","active","intermediate","balance_control","bosu, balance, puck_control, posture","in_tight","controlled","shooting","45","low-med","10","99","Stick, puck, BOSU Ball","6x6 ft","Stand on BOSU (both feet) in athletic stance and perform continuous forehand-backhand handling.","Soft hands, quiet feet, keep chest tall","3","2","Jack Hughes","","stickhandling"
"SH_054","BOSU Single-Leg Stickhandling","active","advanced","balance_control","bosu, single_leg, puck_control, core_stability","in_tight","controlled","shooting","40","med","12","99","Stick, puck, BOSU Ball","6x6 ft","Stand on BOSU on one leg and stickhandle continuously. Switch legs halfway.","Hips level, knee stable, small touches first","3","3","Jack Hughes","","stickhandling"
"SH_055","Banded Around-the-World Stickhandling","active","advanced","resistance_control","band_resisted, around_body, deception, posture","wide","moderate","shooting","45","med","12","99","Stick, puck, resistance band","6x6 ft","With knees bent and band tension, move puck around entire body (front, sides, behind) while maintaining control.","Keep head up, move hips not shoulders, stay low","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/690d2006cd89f54df87b3358d16e87d0/manifest/video.m3u8","stickhandling"
"SH_056","Double Stick Crossovers","active","advanced","obstacle_footwork","two_sticks, crossover_feet, coordination, puck_control","in_tight","moderate","shooting","45","med","12","99","Stick, puck, 2 extra sticks","8x8 ft","Lay two sticks on the ground. Perform crossover footwork over the sticks while stickhandling in front both directions.","Feet quiet, hands faster than feet, eyes up","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c36e102103e42e5453de16adb9a6048b/manifest/video.m3u8","stickhandling"
"SH_057","Skater Jumps Over Double Stick + Handle","active","advanced","obstacle_footwork","lateral_jumps, two_sticks, skating_transfer, puck_control","in_tight","fast","shooting","30","med-high","14","99","Stick, puck, 2 extra sticks","8x8 ft","With two sticks on ground, perform skater jumps over the sticks while maintaining continuous stickhandling.","Stick landings, keep puck in front, don’t lose posture","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/99f2cb89f207fe4b8b68225350fd1194/manifest/video.m3u8","stickhandling"
"SH_058","Weight-Shifting Wide Stickhandles","active","intermediate","edge_control_handling","wide_handles, weight_shift, hips, puck_control","wide","moderate","shooting","45","low-med","8","99","Stick & puck","6x6 ft","Wide forehand/backhand touches while shifting weight side to side each touch.","Hips shift with puck, stay low, soft hands","4","2","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/2e90e5dd43a32d821191a206c68e8894/manifest/video.m3u8","stickhandling"
"SH_059","Mid-Lunge Forehand Stickhandling","active","advanced","position_handling","lunge_position, single_side, reach, puck_protection","extended","controlled","shooting","40","med","12","99","Stick & puck","6x6 ft","Hold a mid-lunge. Keep puck on one side only and stickhandle from front to back range without crossing centerline.","Sit into hips, long reach, control the puck at end ranges","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/d5bc11d4aa0d055ebaad2ebfdf9cba2e/manifest/video.m3u8","stickhandling"
"SH_060","Partner Sweep Constraint Stickhandling","inactive","advanced","partner_constraint","partner, obstacle_sweep, awareness, puck_control","in_tight","fast","shooting","45","med","12","99","Stick, puck, partner","8x8 ft","Partner sweeps a stick back and forth on the ground while athlete stickhandles around the moving obstacle continuously.","Head up, anticipate sweep, keep touches small and quick","4","3","Jack Hughes","","stickhandling"
"SH_061","Smiley Stickhandling","active","beginner","stationary_control","area_handling, puck_control, scanning","in_tight","controlled","shooting","45","low","6","99","Stick, puck, 2 pucks + flat marker","6x6 ft","Set two pucks and a flat marker like a “smiley face” area. Use the full area to stickhandle (circles, diagonals, figure patterns).","Be creatvie, use whole space, eyes up, stay relaxed","4","1","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/1aeb7cb1f5381d5885157bb4f1812500/manifest/video.m3u8","stickhandling"
"SH_062","Figure-8 Puck Flicks","active","advanced","advanced_touch","figure_8, puck_flick, blade_control, soft_hands","in_tight","fast","shooting","40","med","12","99","Stick, puck, extra stick (optional as gates)","6x6 ft","Stickhandle in a figure-8 pattern and lift/flick the puck slightly each time you come around the turn.","Soft catch, don’t slap, control landing","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/da8425970be364206d1cfc0a6d6d58c0/manifest/video.m3u8","stickhandling"
"SH_063","Heavy Plate Figure-8","active","advanced","weighted_handling","heavy_plate, forearm_strength, figure_8, puck_control","extended","controlled","shooting","30","med","14","99","Wood stick, metal plate","6x6 ft","Using a wood stick, control a metal plate in a figure-8 pattern with smooth continuous touches.","Grip light, wrists active, no bouncing the plate","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/36a1381b611d2c78be4d3551fc3b4a98/manifest/video.m3u8","stickhandling"
"SH_064","Forehand to One Handed Backhand","active","advanced","weighted_handling","one_hand, backhand, full_extension, forearm_strength","extended","controlled","shooting","30","med","14","99","Stick & puck","6x6 ft","Forehand handle to a wide backhand reach","Shoulder down, wrist strong, control at end range","4","3","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/18ef67012c5123117b9c4291ed364d18/manifest/video.m3u8","stickhandling"
"SH_065","Stickhandle Under Stick Gate","active","intermediate","obstacle_control","under_gate, low_hands, quick_touches","in_tight","moderate","shooting","45","low-med","8","99","Stick, puck, extra stick + 3 pucks (as risers)","6x6 ft","Place a stick elevated on 3 pucks to form a gate. Stickhandle on the line under the stick without hitting it.","Keep hands low, small touches, head up","4","2","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/df982abbe21377653cb931ddf3f34711/manifest/video.m3u8","stickhandling"
"SH_066","Plate Forehand Stickhandling","active","intermediate","resistance_control","plate_push, surface_control, knob_push","extended","controlled","shooting","45","low-med","10","99","Stick, small plate","6x6 ft","Using the end of the stick, move the plate around on concrete in controlled patterns (forward/back, circles, figure-8).","Quiet shoulders, smooth pressure, don’t chatter the plate","4","2","Conner Bedard","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/f449633632bd06ab90953e7b9f3ae516/manifest/video.m3u8","stickhandling"
"SH_067","No-Crossover Double Stick Side-Step Handling","active","advanced","obstacle_footwork","side_step, two_sticks, scanning, puck_control","in_tight","moderate","shooting","45","med","12","99","Stick, puck, 2 extra sticks","8x8 ft","Stickhandle back and forth while side-stepping over two sticks (no crossovers). Optional: coach flashes fingers and athlete calls number.","Feet under hips, keep puck moving, eyes up and scan","5","3","Conner Bedard","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/af0df72bd56389a222b096fa288c6216/manifest/video.m3u8","stickhandling"
"SH_068","Side-to-Side Shuffle Handling Over Two Sticks","active","advanced","obstacle_footwork","shuffle, lateral_feet, two_sticks, puck_control","in_tight","fast","shooting","45","med","12","99","Stick, puck, 2 extra sticks","8x8 ft","Stickhandle while shuffling side to side across the two sticks repeatedly.","Stay low, fast feet, hands stay calm","5","3","Conner McDavid","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/e1e2a432691470540e831dc6bd49fd90/manifest/video.m3u8","stickhandling"
"SH_069","Curtsey Crossover Handling Over Two Sticks","active","advanced","obstacle_footwork","curtsey_lunge, crossover_feet, hip_control, puck_protection","in_tight","moderate","shooting","45","med","14","99","Stick, puck, 2 extra sticks","8x8 ft","Perform curtsey crossover footwork over two sticks while maintaining continuous stickhandling in front.","Hips square, control depth, don’t reach for puck","5","3","Conner McDavid","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/bf91f77b40748d6ffbd64126fed7e503/manifest/video.m3u8","stickhandling"
"SH_071","Heavy Plate Stickhandling","active","advanced","weighted_handling","heavy_plate, forearm_strength, figure_8, puck_control","extended","controlled","shooting","30","med","14","99","Wood stick, metal plate","6x6 ft","Using a wood stick, control a metal plate in a figure-8 pattern with smooth continuous touches.","Grip light, wrists active, no bouncing the plate","4","3","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c07806c2587bb3cb347398261deeea06/manifest/video.m3u8","stickhandling"
