"id","name","status","skill_level","shot_type","shooting_bucket","tags","release_point","feeds_from","target_type","default_reps","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","difficulty","coach_preference","inspired_by","video_url","session_type"
"SHO_012","Push Past Obstacle Shot","active","intermediate","wrist","obstacle_based","obstacle, explosive_release, wrist_shot","mid_range","stickhandling","net","30","low-med","10","99","Shooting pad, pucks, stick obstacle","Shooting lane","Push puck past obstacle and shoot","Explode after move","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/0d11ad63463e9a97b9ccd2da0dc5be22/manifest/video.m3u8","shooting"
"SHO_013","Chair Seated Shot","active","advanced","wrist","uncomfortable_release","uncomfortable_position, upper_body_focus","mid_range","stickhandling","net","30","low-med","12","99","Shooting pad, pucks, chair","Shooting lane","Shoot while seated in chair","Upper body mechanics","3","2","self","","shooting"
"SHO_017","Puck Protection Pull Shot","active","advanced","wrist","deception","puck_protection, pull_shot, deception","in_tight","stickhandling","net","30","low-med","12","99","Shooting pad & pucks","Shooting lane","Protect puck then pull into shot","Body between puck and defender","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/f5370905dcc9d453de38eba15fee4068/manifest/video.m3u8","shooting"
"SHO_019","Fake Pass to Shot","active","advanced","wrist","deception","fake_pass, deception, delayed_release","mid_range","stickhandling","net","30","low-med","12","99","Shooting pad & pucks","Shooting lane","Fake shot motion then reset and shoot","Sell the fake","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/270cc2cd00d4f365999476be4983f945/manifest/video.m3u8","shooting"
"SHO_020","Backhand Pull-In","active","advanced","backhand","backhand","backhand, pull_in, close_range","in_tight","stickhandling","net","8","low-med","12","99","Shooting pad & pucks","Shooting lane","Pull puck inward on backhand and release","Strong blade control","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/6abe5404bb7c46447f8431fed50ba154/manifest/video.m3u8","shooting"
"SHO_021","One-Touch Forehand Shot","active","beginner","snap","quick_release","one_touch, quick_release, snap_shot","in_tight","pass_receive","net","10","low","8","99","Shooting pad & pucks","Shooting lane","One touch then shoot immediately","Quick feet","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/6acfab4174835d761656d5341a63fbf0/manifest/video.m3u8","shooting"
"SHO_022","Wide Reach Wrist Shot","active","intermediate","wrist","wrist_shot","wide_reach, wrist_shot, extension","extended","stickhandling","net","10","low-med","10","99","Shooting pad & pucks","Shooting lane","Reach puck wide and shoot","Full extension","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c4f650d3ad04b58823c528ffe797c3e6/manifest/video.m3u8","shooting"
"SHO_024","Uncomfortable Feet Position Shot","active","advanced","wrist","uncomfortable_release","uncomfortable_stance, balance_control","mid_range","stickhandling","net","8","low-med","12","99","Shooting pad & pucks","Shooting lane","Shoot from awkward foot stance","Balance control","4","2","self","","shooting"
"SHO_025","Slapshot","active","intermediate","slap","slap_shot","slap_shot, power, weight_transfer","extended","stickhandling","net","50","low-med","10","99","Shooting pad & pucks","Shooting lane","Release puck low then elevate late","Late lift","3","1","self","","shooting"
"SHO_026","Half Moon Shots","active","intermediate","wrist","quick_release","quick_release, rapid_fire, puck_retrieval, wrist_shot","mid_range","puck_retrieval","net","20","low-med","10","99","Shooting pad & pucks","Shooting lane","Place 8–12 pucks in a half-moon arc in front of you. Start lying down or prone beside the pucks. On “go,” grab one puck at a time and immediately shoot. Continue until all pucks are gone.","No extra stickhandles, quick setup, shoot as soon as puck hits blade","3","1","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/f8c8438a7237fea7a9e1523951c898c3/manifest/video.m3u8","shooting"
"SHO_027","Stickhandling the Line Backwards","active","intermediate","wrist","transition_shooting","transition_shooting, backward_stickhandle, quick_release, wrist_shot","mid_range","stickhandling","net","12","low-med","10","99","Shooting pad & pucks","Shooting lane","Set 3 pucks in a straight line. Stickhandle backward through the line (backward pulls only), exit the line, and immediately shoot. Reset and repeat.","Head up, clean backward touches, fast transition to release","4","1","Jack Hughes","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/606f005970310f8b33c0b71f378cf56a/manifest/video.m3u8","shooting"
"SHO_029","Continuous Lateral Slide + Shoot","active","advanced","wrist","transition_shooting","lateral_movement, transition, wrist_shot","mid_range","stickhandling","net","16","med","12","99","Shooting pad & pucks","Shooting lane","Slide puck laterally across body, shoot. Reset laterally opposite direction and shoot again continuously.","Keep feet moving, change release angle","4","2","self","","shooting"
"SHO_032","Lateral Movement One-Timer","active","advanced","snap","pass_receive","pass_receive, one_timer, lateral","mid_range","pass_receive","net","16","med","12","99","Shooting pad & pucks, Partner","Shooting lane","Move laterally, receive pass, shoot immediately without stickhandling.","Stick ready before pass arrives","4","2","self","","shooting"
"SHO_033","Shoot over Obstacle","active","advanced","snap","deception","lateral_pull, wrist_shot, angle_change","mid_range","stickhandling","net","16","med","10","99","Shooting pad & pucks, Obstacle","Shooting Lane","Drag in puck and shoot over close obstacle","Lift puck early so avoid hitting obstacle","4","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/6e4f008daf29249ea12b28ae32f1d643/manifest/video.m3u8","shooting"
